index	text	labels	sentiment	review_len
83	an original and highly cerebral examination of the psychopathic mind	1	positive	10
5048	i felt trapped and with no obvious escape for the entire 100 minutes .	0	negative	14
49	drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .	1	positive	35
5329	the movie is undone by a filmmaking methodology that's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads .	0	negative	24
4482	despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off	0	negative	46
5903	the plot convolutions ultimately add up to nothing more than jerking the audience's chain .	0	negative	15
706	there's not much more to this adaptation of the nick hornby novel than charm -- effortless , pleasurable , featherweight charm .	1	positive	22
850	the trouble is , its filmmakers run out of clever ideas and visual gags about halfway through .	0	negative	18
340	franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic .	1	positive	32
6390	you see robert de niro singing - and dancing to - west side story show tunes . choose your reaction : a . ) that sure is funny ! b . ) that sure is pathetic !	0	negative	37
3890	the result is somewhat satisfying -- it still comes from spielberg , who has never made anything that wasn't at least watchable . but it's also disappointing to a certain degree .	1	positive	32
8215	impostor doesn't do much with its template , despite a remarkably strong cast .	0	negative	14
802	where the film falters is in its tone .	0	negative	9
4051	here's yet another cool crime movie that actually manages to bring something new into the mix .	1	positive	17
631	a yarn that respects the marvel version without becoming ensnared by it .	1	positive	13
7528	its inescapable absurdities are tantamount to insulting the intelligence of anyone who hasn't been living under a rock ( since sept . 11 ) .	0	negative	25
1242	there has always been something likable about the marquis de sade .	1	positive	12
2303	"dogtown and z-boys more than exposes the roots of the skateboarding boom that would become "" the punk kids' revolution . """	1	positive	22
5145	big fat liar is little more than home alone raised to a new , self-deprecating level .	0	negative	17
3785	this is a very funny , heartwarming film . it has fun with the quirks of family life , but it also treats the subject with fondness and respect .	1	positive	30
