index	text	labels	sentiment	review_len
4665	paxton's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre .	0	negative	26
1277	it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .	1	positive	20
8407	nelson's intentions are good , but the end result does no justice to the story itself . it's horribly depressing and not very well done .	0	negative	26
2721	clever and unflinching in its comic barbs , slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .	1	positive	28
4130	is red dragon worthy of a place alongside the other hannibal movies ? as hannibal would say , yes , 'it's like having an old friend for dinner' .	1	positive	29
1084	while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation .	1	positive	31
5523	self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable .	0	negative	12
8295	a sluggish pace and lack of genuine narrative hem the movie in every bit as much as life hems in the spirits of these young women .	0	negative	27
2484	it's truly awful and heartbreaking subject matter , but one whose lessons are well worth revisiting as many times as possible .	1	positive	22
7694	anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . '	0	negative	23
2741	not the best herzog perhaps , but unmistakably herzog .	1	positive	10
5684	the script is a tired one , with few moments of joy rising above the stale material .	0	negative	18
270	this is such a dazzlingly self-assured directorial debut that it's hard to know what to praise first .	1	positive	18
314	hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .	1	positive	17
6395	instead of accurately accounting a terrible true story , the film's more determined to become the next texas chainsaw massacre . but what about the countless other people who'd merely like to watch a solid tale about a universally interesting soul ?	0	negative	42
527	for the first two-thirds of this sparklingly inventive and artful , always fast and furious tale , kids will go happily along for the ride .	1	positive	26
2451	from its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale , martin is a masterfully conducted work .	1	positive	20
6662	it's a deeply serious movie that cares passionately about its subject , but too often becomes ponderous in its teaching of history , or lost in the intricate connections and multiple timelines of its story .	0	negative	36
768	one of the worst movies of the year . . . . watching it was painful .	0	negative	17
683	it is risky , intelligent , romantic and rapturous from start to finish .	1	positive	14
6839	the advantage of a postapocalyptic setting is that it can be made on the cheap . any rock pile will do for a set . reign of fire has the disadvantage of also looking cheap .	0	negative	36
3081	short-story quaint , touchingly mending a child's pain for his dead mother via communication with an old woman straight out of eudora welty .	1	positive	24
6863	the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants' so to be one of us may be the most tuneless tune ever composed .	0	negative	32
6299	the film seems a dead weight . the lack of pace kills it , although , in a movie about cancer , this might be apt .	0	negative	27
768	a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society .	1	positive	18
1924	family portrait of need , neurosis and nervy negativity is a rare treat that shows the promise of digital filmmaking .	1	positive	21
4302	most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved	0	negative	24
5683	looks and feels like a low-budget hybrid of scarface or carlito's way .	0	negative	13
