index	example	label_ex	sentiment_ex	review_len	label_counter	sentiment_counter	paired_id	counterfactual
531	it's nice to see piscopo again after all these years , and chaykin and headly are priceless .	1	positive	18	0	negative	0	None
746	while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .	0	negative	25	1	positive	1	None
3563	it's weird , wonderful , and not necessarily for kids .	1	positive	11	0	negative	2	None
32	the performances are immaculate , with roussillon providing comic relief .	1	positive	11	0	negative	3	None
4321	though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .	0	negative	21	1	positive	4	None
1114	this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . a rewarding work of art for only the most patient and challenge-hungry moviegoers .	1	positive	26	0	negative	5	None
5136	britney spears' phoniness is nothing compared to the movie's contrived , lame screenplay and listless direction .	0	negative	17	1	positive	6	None
2148	mastering its formidable arithmetic of cameras and souls , group articulates a flood of emotion .	1	positive	16	0	negative	7	None
215	tsai ming-liang has taken his trademark style and refined it to a crystalline point .	1	positive	15	0	negative	8	None
4757	hugh grant's act is so consuming that sometimes it's difficult to tell who the other actors in the movie are .	0	negative	21	1	positive	9	None
6861	at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin .	0	negative	27	1	positive	10	None
4636	the one not-so-small problem with expecting is that the entire exercise has no real point .	0	negative	16	1	positive	11	None
15	scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .	1	positive	13	0	negative	12	None
2888	el título no engaña : la película narra una historia donde una mujer enfrentará cierta realidad , y donde el sexo es . . .	1	positive	25	0	negative	13	None
296	it's a great american adventure and a wonderful film to bring to imax .	1	positive	14	0	negative	14	None
3328	the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis .	1	positive	37	0	negative	15	None
1038	once again , director jackson strikes a rewarding balance between emotion on the human scale and action/effects on the spectacular scale .	1	positive	22	0	negative	16	None
1326	the son's room is a triumph of gentility that earns its moments of pathos .	1	positive	15	0	negative	17	None
2353	. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .	1	positive	19	0	negative	18	None
7314	succeeds in providing a disquiet world the long-dreaded completion of the police academy series .	0	negative	15	1	positive	19	None
8126	sheridan's take on the author's schoolboy memoir . . . is a rather toothless take on a hard young life .	0	negative	21	1	positive	20	None
2142	phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .	1	positive	39	0	negative	21	None
2626	it's pretty linear and only makeup-deep , but bogdanovich ties it together with efficiency and an affection for the period .	1	positive	21	0	negative	22	None
5937	on the bright side , it contains jesse ventura's best work since the xfl .	0	negative	15	1	positive	23	None
471	although very much like the first movie based on j . k . rowling's phenomenal fantasy best sellers , this second go-round possesses a quite pleasing , headlong thrust and a likably delinquent attitude .	1	positive	35	0	negative	24	None
397	one hour photo is an intriguing snapshot of one man and his delusions ; it's just too bad it doesn't have more flashes of insight .	1	positive	26	0	negative	25	None
697	'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '	0	negative	30	1	positive	26	None
3469	this slight premise . . . works because of the ideal casting of the masterful british actor ian holm as the aged napoleon .	1	positive	24	0	negative	27	None
6901	what you get with empire is a movie you've seen many times before , repackaged as new material because there is a latino in the lead .	0	negative	27	1	positive	28	None
913	marvelous , merry and , yes , melancholy film .	1	positive	10	0	negative	29	None
7326	john leguizamo may be a dramatic actor -- just not in this movie .	0	negative	14	1	positive	30	None
1773	tsai has a well-deserved reputation as one of the cinema world's great visual stylists , and in this film , every shot enhances the excellent performances .	1	positive	27	0	negative	31	None
806	at times funny and at other times candidly revealing , it's an intriguing look at two performers who put themselves out there because they love what they do .	1	positive	29	0	negative	32	None
1648	australia : land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place .	1	positive	19	0	negative	33	None
2341	a sexy , surprising romance . . . idemoto and kim make a gorgeous pair . . . their scenes brim with sexual possibility and emotional danger .	1	positive	28	0	negative	34	None
8397	all of the filmmakers' calculations can't rescue brown sugar from the curse of blandness .	0	negative	15	1	positive	35	None
3801	vividly demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .	1	positive	26	0	negative	36	None
5043	the heedless impetuousness of youth is on full , irritating display in [this] meandering and pointless french coming-of-age import from writer-director anne-sophie birot .	0	negative	24	1	positive	37	None
5804	the piquant story needs more dramatic meat on its bones .	0	negative	11	1	positive	38	None
7833	maybe you'll be lucky , and there'll be a power outage during your screening so you can get your money back .	0	negative	22	1	positive	39	None
13	one of the greatest family-oriented , fantasy-adventure movies ever .	1	positive	10	0	negative	40	None
8430	this pathetic junk is barely an hour long . nevertheless , it still seems endless .	0	negative	16	1	positive	41	None
1328	the film may appear naked in its narrative form . . . but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine	1	positive	30	0	negative	42	None
1605	the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency .	1	positive	39	0	negative	43	None
90	doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .	1	positive	38	0	negative	44	None
8348	after collateral damage , you might imagine that most every aggrieved father cliché has been unturned . but no .	0	negative	20	1	positive	45	None
8104	there's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .	0	negative	28	1	positive	46	None
7846	one of those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time .	0	negative	29	1	positive	47	None
958	lauren ambrose comes alive under the attention from two strangers in town - with honest performances and realistic interaction between the characters , this is a coming-of-age story with a twist .	1	positive	32	0	negative	48	None
6241	there's not enough here to justify the almost two hours .	0	negative	11	1	positive	49	None
8314	it is so earnest , so overwrought and so wildly implausible that it begs to be parodied .	0	negative	18	1	positive	50	None
2984	anyone who welcomes a dash of the avant-garde fused with their humor should take pleasure in this crazed , joyous romp of a film .	1	positive	25	0	negative	51	None
4519	unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic .	0	negative	21	1	positive	52	None
6387	when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .	0	negative	29	1	positive	53	None
4576	given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors' workshop that it is .	0	negative	27	1	positive	54	None
2105	a worthwhile documentary , whether you're into rap or not , even if it may still leave you wanting more answers as the credits roll .	1	positive	26	0	negative	55	None
8379	hip-hop rarely comes alive as its own fire-breathing entity in this picture .	0	negative	13	1	positive	56	None
6362	guillen rarely gets beneath the surface of things . she lists ingredients , but never mixes and stirs .	0	negative	19	1	positive	57	None
199	australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .	1	positive	23	0	negative	58	None
5380	ruh-roh ! romething's really wrong with this ricture !	0	negative	9	1	positive	59	None
6865	technically , the film is about as interesting as an insurance commercial .	0	negative	13	1	positive	60	None
6749	not a movie but a live-action agitprop cartoon so shameless and coarse , it's almost funny .	0	negative	17	1	positive	61	None
7412	this insufferable movie is meant to make you think about existential suffering . instead , it'll only put you to sleep .	0	negative	22	1	positive	62	None
1269	it inspires a continuing and deeply satisfying awareness of the best movies as monumental 'picture shows . '	1	positive	18	0	negative	63	None
3186	at its best ( and it does have some very funny sequences ) looking for leonard reminds you just how comically subversive silence can be .	1	positive	26	0	negative	64	None
3518	another trumpet blast that there may be a new mexican cinema a-bornin' .	1	positive	13	0	negative	65	None
8402	godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess . . . in praise of love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating .	0	negative	37	1	positive	66	None
598	for something as splendid-looking as this particular film , the viewer expects something special but instead gets [sci-fi] rehash .	0	negative	20	1	positive	67	None
4793	given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube .	0	negative	27	1	positive	68	None
3571	from a deceptively simple premise , this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .	1	positive	33	0	negative	69	None
4738	the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material .	0	negative	18	1	positive	70	None
6202	it can't decide if it wants to be a mystery/thriller , a romance or a comedy .	0	negative	17	1	positive	71	None
4808	so mind-numbingly awful that you hope britney won't do it one more time , as far as movies are concerned .	0	negative	21	1	positive	72	None
2726	the powerful success of read my lips with such provocative material shows why , after only three films , director/co-writer jacques audiard , though little known in this country , belongs in the very top rank of french filmmakers .	1	positive	40	0	negative	73	None
4282	"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !"	0	negative	35	1	positive	74	None
4195	a thriller whose style , structure and rhythms are so integrated with the story , you cannot separate them .	1	positive	20	0	negative	75	None
5826	even in this less-than-magic kingdom , reese rules .	0	negative	9	1	positive	76	None
3621	the film , while not exactly assured in its execution , is notable for its sheer audacity and openness .	1	positive	20	0	negative	77	None
7555	there's a thin line between likably old-fashioned and fuddy-duddy , and the count of monte cristo . . . never quite settles on either side .	0	negative	26	1	positive	78	None
